TIME,TIME,HUMIDITY,PRESSURE
"""2018-11-10T04:32:39.310756""",33.7,42.8,0
"""2018-11-10T04:33:14.322152""",33.7,42.3,941.5
"""2018-11-10T04:33:49.150628""",33.5,42.2,941.5
"""2018-11-10T04:34:24.084792""",33.5,43,941.5
"""2018-11-10T04:34:58.910106""",33.3,42.7,941.5
"""2018-11-10T04:35:33.820696""",33.2,42.7,941.5
"""2018-11-10T04:36:08.670616""",33.2,42.6,941.5
"""2018-11-10T04:56:40.753069""",34.4,41.6,941.4
"""2018-11-10T04:57:15.457488""",34.3,41.7,941.4
"""2018-11-10T04:57:50.090755""",34.3,41.8,941.4
"""2018-11-10T04:58:24.674045""",34.5,41.6,941.4
"""2018-11-10T04:58:59.382045""",34.3,41.5,941.3
"""2018-11-10T05:06:14.135204""",34.9,41.5,941.4
"""2018-11-10T05:08:57.775677""",25,45,1013
"""2018-12-10T11:41:43.625513""",30,43.4,0
"""2018-12-10T11:42:18.494734""",30.3,42.1,987.8
"""2018-12-10T11:42:53.671522""",30.5,41.8,987.8
"""2018-12-10T11:43:28.984408""",30.6,41.5,987.8
"""2018-12-10T11:44:04.102627""",30.6,41.3,987.8
"""2018-12-10T11:44:39.112682""",30.5,41.5,987.8
"""2018-12-10T11:45:13.916400""",30.7,41.8,987.8
"""2018-12-10T11:45:48.740217""",30.5,41.3,987.9
"""2018-12-10T11:46:23.599293""",30.6,41.8,987.8
"""2018-12-10T11:46:58.776867""",30.7,41.6,987.8
"""2018-12-10T11:47:33.883852""",30.4,42.4,987.9
"""2018-12-10T11:48:08.714802""",30.5,41.8,987.8
"""2018-12-10T11:48:43.626711""",30.6,41.4,987.8
"""2018-12-10T11:49:18.563708""",30.3,41.4,987.8
"""2018-12-10T11:49:53.213486""",30.3,41.8,987.8
"""2018-12-10T11:50:28.659243""",30.3,40.7,987.8
"""2018-12-10T11:51:04.256228""",30.4,41.8,987.8
"""2018-12-10T11:51:39.272712""",30.2,42,987.8
"""2018-12-10T11:52:14.030827""",30.3,41.8,987.8
"""2018-12-10T11:52:49.259394""",30.3,41.9,987.8
"""2018-12-10T11:53:24.243798""",30.2,42.7,987.9
"""2018-12-10T11:53:59.378093""",30.2,42.1,987.9
"""2018-12-10T11:54:34.182964""",30.2,41.9,987.8
"""2018-12-10T11:55:09.035560""",30.2,41.9,987.8
"""2018-12-10T11:55:44.354760""",30.3,41.8,987.9
"""2018-12-10T11:56:19.539249""",30.2,42,987.9
"""2018-12-10T13:18:52.936930""",19.6,81.5,0
"""2018-12-10T13:19:28.541981""",20.3,79.9,988.5
"""2018-12-10T13:20:03.439896""",20.9,77.1,988.5
"""2018-12-10T13:20:38.106215""",21.1,76.2,988.5
